sim_time,reservation_time_trigger,dyn_fleetsizing_strategy,user_requests
0,0.0,0.0,0.0
60,0.0,0.0,0.0
120,0.0,0.0,0.0
180,0.0,0.0,0.03869
240,0.0,0.0,0.0
300,0.0,0.0,0.02302
360,0.0,0.0,0.07289000000000001
420,0.0,0.0,0.0
480,0.0,0.0,0.0
540,0.0,0.0,0.0
600,0.0,0.0,0.0
660,0.0,0.0,0.02421
720,0.0,0.0,0.0
780,0.0,0.0,0.0
840,0.0,0.0,0.04059
900,0.0,0.0,0.08094000000000001
960,0.0,0.0,0.0594
1020,0.0,0.0,0.0
1080,0.0,0.0,0.11279
1140,0.0,0.0,0.03846
1200,0.0,0.0,0.04895
1260,0.0,0.0,0.0
1320,0.0,0.0,0.08195
1380,0.0,0.0,0.0
1440,0.0,0.0,0.01846
1500,0.0,0.0,0.12522
1560,0.0,0.0,0.02507
1620,0.0,0.0,0.04578
1680,0.0,0.0,0.26052
1740,0.0,0.0,0.0
1800,0.0,0.019,0.0
1860,0.0,0.0,0.0
1920,0.0,0.001,0.0
1980,0.0,0.0,0.0
2040,0.0,0.0,0.04616
2100,0.0,0.0,0.03072
2160,0.0,0.0,0.01464
2220,0.0,0.0,0.0
2280,0.0,0.0,0.01506
2340,0.0,0.0,0.04866
2400,0.0,0.0,0.02343
2460,0.0,0.0,0.03059
2520,0.0,0.0,0.0477
2580,0.0,0.0,0.05915
2640,0.0,0.0,0.0
2700,0.0,0.0,0.06062
2760,0.0,0.0,0.03638
2820,0.0,0.0,0.0
2880,0.0,0.0,0.07394
2940,0.0,0.0,0.01792
3000,0.0,0.0,0.0112
3060,0.0,0.0,0.062329999999999997
3120,0.0,0.0,0.0
3180,0.0,0.0,0.0
3240,0.0,0.0,0.0
3300,0.0,0.0,0.007
3360,0.0,0.0,0.02747
3420,0.0,0.0,0.02561
3480,0.0,0.0,0.0
3540,0.0,0.0,0.0
3600,0.0,0.034,0.04842
3660,0.0,0.0,0.0
3720,0.0,0.0,0.02856
3780,0.0,0.0,0.0
3840,0.0,0.0,0.13634
3900,0.0,0.0,0.0
3960,0.0,0.0,0.0
4020,0.0,0.0,0.0
4080,0.0,0.0,0.0
4140,0.0,0.0,0.0
4200,0.0,0.0,0.0
4260,0.0,0.0,0.01597
4320,0.0,0.0,0.09677999999999999
4380,0.0,0.0,0.09708
4440,0.0,0.0,0.07938
4500,0.0,0.0,0.0
4560,0.0,0.0,0.02596
4620,0.0,0.0,0.054860000000000006
4680,0.0,0.0,0.06535
4740,0.0,0.0,0.0
4800,0.0,0.0,0.0
4860,0.0,0.0,0.06358
4920,0.0,0.0,0.06163
4980,0.0,0.0,0.12996
5040,0.0,0.0,0.0
5100,0.0,0.0,0.06688
5160,0.0,0.0,0.05483
5220,0.0,0.0,0.05656
5280,0.0,0.0,0.0
5340,0.0,0.0,0.0
5400,0.0,0.012,0.05728
5460,0.0,0.0,0.048600000000000004
5520,0.0,0.0,0.08396
5580,0.0,0.0,0.09906000000000001
5640,0.0,0.0,0.0
5700,0.0,0.0,0.08115
5760,0.0,0.0,0.04436
5820,0.0,0.0,0.0
5880,0.0,0.0,0.0
5940,0.0,0.0,0.0
6000,0.0,0.0,0.0
6060,0.0,0.0,0.02317
6120,0.0,0.0,0.0
6180,0.0,0.0,0.0
6240,0.0,0.0,0.03876
6300,0.0,0.0,0.0
6360,0.0,0.0,0.0
6420,0.0,0.0,0.04242
6480,0.0,0.0,0.0
6540,0.0,0.0,0.03301
6600,0.0,0.0,0.06017
6660,0.0,0.0,0.07208
6720,0.0,0.0,0.0
6780,0.0,0.0,0.0
6840,0.0,0.0,0.05446
6900,0.0,0.0,0.04335
6960,0.0,0.0,0.0
7020,0.0,0.0,0.0
7080,0.0,0.0,0.0
7140,0.0,0.0,0.0225
