sim_time,reservation_time_trigger,dyn_fleetsizing_strategy,user_requests,activate vehicles,active vehicles,effective utilized vehicles,utilization
0,0.0,0.0,0.0,0,50,0.0,0.0
60,0.0,0.377,0.0,-49.0,50,0.0,0.0
120,0.0,0.001,0.0,-0.0,1,0.0,0.0
180,0.0,0.001,0.029949999999999997,-0.0,1,0.0,0.0
240,0.0,0.007,0.0,-0.0,1,0.0,0.0
300,0.0,0.004,0.02599,1,1,1.0,1.0
360,0.0,0.002,0.05509,2,2,2.0,1.0
420,0.0,0.011,0.0,-1,4,2.0,0.5
480,0.0,0.0,0.0,0,3.0,1.7145155485555672,0.5715051828518557
540,0.0,0.011,0.0,-1,3.0,1.3145155485555673,0.43817184951852245
600,0.0,0.011,0.0,-1,2.0,0.9145155485555676,0.4572577742777838
660,0.0,0.001,0.02721,2,2,2.0,1.0
720,0.0,0.02,0.0,-1,4,2.0,0.5
780,0.0,0.016,0.0,-1,2.0,0.8684461527289515,0.43422307636447577
840,0.0,0.001,0.0668,1,1.0,0.6684461527289515,0.6684461527289515
900,0.0,0.001,0.044969999999999996,2,2,2.0,1.0
960,0.0,0.009,0.04765,-1,4,2.0,0.5
1020,0.0,0.0,0.0,1,3.0,1.9567114932055363,0.6522371644018454
1080,0.0,0.001,0.08498,3,4.0,3.756711493205536,0.939177873301384
1140,0.0,0.0,0.04995,1,7.0,4.556711493205536,0.650958784743648
1200,0.0,0.0,0.05361,0,8,5.0,0.625
1260,0.0,0.0,0.0,0,8.0,4.668134058967064,0.583516757370883
1320,0.0,0.0,0.06261,0,8.0,4.518811362656267,0.5648514203320334
1380,0.0,0.019,0.0,-2,8.0,3.735557962261309,0.4669447452826636
1440,0.0,0.009,0.03314,-1,6.0,3.211778543262945,0.5352964238771575
1500,0.0,0.0,0.12882,1,5.0,3.3964211893721883,0.6792842378744377
1560,0.0,0.026,0.0544,-2,6.0,2.826600085191918,0.471100014198653
1620,0.0,0.0,0.06297,0,5.0,2.9641892860509573,0.5928378572101914
1680,0.0,0.001,0.13863,3,5.0,4.509581427712383,0.9019162855424765
1740,0.0,0.019,0.0,-1,8.0,4.2030936294893495,0.5253867036861687
1800,0.0,0.016,0.0,-1,7.0,3.80309362948935,0.54329908992705
1860,0.0,0.001,0.0,0,6.0,3.493512201776965,0.5822520336294942
1920,0.0,0.011,0.0,-2,5.0,2.2935122017769647,0.4587024403553929
1980,0.0,0.0,0.0,1,3.0,2.019646037839645,0.6732153459465483
2040,0.0,0.0,0.049,0,4.0,2.5631608753259387,0.6407902188314847
2100,0.0,0.001,0.04627,2,4.0,3.163160875325939,0.7907902188314847
2160,0.0,0.0,0.01767,0,6.0,3.66022866926703,0.6100381115445049
2220,0.0,0.016,0.0,-2,6.0,2.905309298578926,0.484218216429821
2280,0.0,0.0,0.02639,0,5.0,3.249186558641827,0.6498373117283653
2340,0.0,0.001,0.02245,2,5.0,3.649186558641824,0.7298373117283649
2400,0.0,0.018,0.01313,-2,7.0,3.585104183670895,0.5121577405244135
2460,0.0,0.001,0.08522,3,5.0,4.231908111041394,0.8463816222082787
2520,0.0,0.01,0.06091,-1,7.0,3.740828859426221,0.5344041227751745
2580,0.0,0.0,0.03875,0,6.0,3.4005087058592607,0.5667514509765434
2640,0.0,0.024,0.0,-2,6.0,2.8255017546939207,0.47091695911565346
2700,0.0,0.001,0.05855,0,4.0,2.22550175469392,0.55637543867348
2760,0.0,0.012,0.02529,-2,4.0,1.6816300333823224,0.4204075083455806
2820,0.0,0.001,0.0,1,3.0,2.056636984547663,0.6855456615158877
2880,0.0,0.001,0.13587,3,4.0,3.9676639927289306,0.9919159981822326
2940,0.0,0.0,0.02519,0,6.0,3.7676639927289335,0.6279439987881555
3000,0.0,0.0,0.0152,1,6,4.0,0.6666666666666666
3060,0.0,0.001,0.1809,3,7,6.0,0.8571428571428571
3120,0.0,0.0,0.0,0,10.0,5.786237410856609,0.578623741085661
3180,0.0,0.018,0.0,-2,10.0,5.386237410856612,0.5386237410856612
3240,0.0,0.001,0.0,0,8.0,4.85389858189022,0.6067373227362775
3300,0.0,0.0,0.05285,0,8.0,4.736993518076279,0.5921241897595348
3360,0.0,0.018,0.04988,-2,8.0,3.766779362973616,0.470847420371702
3420,0.0,0.001,0.04791,1,6.0,3.9056825462868283,0.6509470910478047
3480,0.0,0.041,0.0,-2,7.0,3.0252058657330796,0.4321722665332971
3540,0.0,0.027,0.0,-2,6.0,2.990911020683205,0.4984851701138675
3600,0.0,0.001,0.07732,2,3.0,2.732592333474992,0.9108641111583307
3660,0.0,0.011,0.0,-1,5.0,2.4760917623127017,0.4952183524625403
3720,0.0,0.0,0.04691,1,4.0,2.7434994288377084,0.6858748572094271
3780,0.0,0.018,0.0,-1,5.0,2.543499428837707,0.5086998857675413
3840,0.0,0.001,0.18722,2,4.0,3.3434994288377067,0.8358748572094267
3900,0.0,0.011,0.0,-1,6.0,3.143499428837704,0.5239165714729507
3960,0.0,0.001,0.0,0,5.0,2.8000911960626853,0.560018239212537
4020,0.0,0.02,0.0,-1,5.0,2.6000911960626856,0.5200182392125371
4080,0.0,0.0,0.0,0,4.0,2.4000911960626854,0.6000227990156713
4140,0.0,0.0,0.0,0,4.0,2.2000911960626857,0.5500227990156714
4200,0.0,0.022,0.0,-2,4.0,1.6671862261790436,0.4167965565447609
4260,0.0,0.0,0.03389,0,2.0,1.2670950301163644,0.6335475150581822
4320,0.0,0.001,0.05201,2,2,2.0,1.0
4380,0.0,0.0,0.05703,1,4.0,2.857091135540577,0.7142727838851443
4440,0.0,0.012,0.09384,3,5.0,4.487597759333924,0.8975195518667848
4500,0.0,0.021,0.0,-2,8.0,4.087597759333918,0.5109497199167398
4560,0.0,0.0,0.06466,2,6.0,4.257091135540571,0.7095151892567618
4620,0.0,0.014,0.07182,2,8.0,5.938184891530536,0.742273111441317
4680,0.0,0.0,0.04956,0,10.0,5.630691141603999,0.5630691141604
4740,0.0,0.024,0.0,-2,10.0,4.864937434365162,0.4864937434365162
4800,0.0,0.02,0.0,-2,8.0,3.864937434365156,0.4831171792956445
4860,0.0,0.001,0.01839,0,6.0,3.4037018845023823,0.5672836474170637
4920,0.0,0.0,0.02963,1,6.0,4.060694940486767,0.6767824900811279
4980,0.0,0.0,0.06694,0,7.0,4.460694940486768,0.6372421343552526
5040,0.0,0.01,0.0,-1,7.0,3.845573881803536,0.5493676974005052
5100,0.0,0.014,0.06167,1,6.0,4.099417379705923,0.6832362299509871
5160,0.0,0.012,0.03148,1,7.0,4.58635559073954,0.6551936558199343
5220,0.0,0.017,0.02113,-2,8.0,4.025750379481044,0.5032187974351305
5280,0.0,0.0,0.0,0,6.0,3.3877228289771635,0.5646204714961939
5340,0.0,0.017,0.0,-2,6.0,2.6436508178932248,0.4406084696488708
5400,0.0,0.013,0.04519,2,4.0,3.5619724494961034,0.8904931123740258
5460,0.0,0.012,0.11871,1,6,4.0,0.6666666666666666
5520,0.0,0.025,0.10808,5,7.0,6.844444580050588,0.9777777971500841
5580,0.0,0.001,0.10606000000000002,5,12.0,9.644444580050589,0.8037037150042158
5640,0.0,0.035,0.0,-2,17.0,9.338716423620099,0.549336260212947
5700,0.0,0.002,0.11024999999999999,0,15.0,9.310009974128246,0.6206673316085497
5760,0.0,0.0,0.04353,0,15.0,8.399161859497935,0.559944123966529
5820,0.0,0.036,0.0,-4,15.0,6.927457026525795,0.46183046843505304
5880,0.0,0.027,0.0,-3,11.0,5.288633551431541,0.48078486831195827
5940,0.0,0.027,0.0,-3,10.0,4.694525613344846,0.46945256133448454
6000,0.0,0.0,0.0,0,8.0,4.501297238029887,0.5626621547537358
6060,0.0,0.006,0.02218,-1,7.0,3.700450055981449,0.5286357222830641
6120,0.0,0.022,0.0,-3,4.0,1.100450055981452,0.275112513995363
6180,0.0,0.001,0.0,0,2.0,1.2903985318926425,0.6451992659463213
6240,0.0,0.025,0.03234,2,2,2.0,1.0
6300,0.0,0.024,0.0,-2,3,1.0,0.3333333333333333
6360,0.0,0.001,0.0,1,1.0,0.9144082712074214,0.9144082712074214
6420,0.0,0.0,0.06428,1,2.0,1.7144082712074216,0.8572041356037108
6480,0.0,0.012,0.0,-1,3.0,1.5144082712074276,0.5048027570691426
6540,0.0,0.0,0.01913,1,2.0,1.5727592777289314,0.7863796388644657
6600,0.0,0.031,0.06497,2,3,3.0,1.0
6660,0.0,0.025,0.07991999999999999,2,5,4.0,0.8
6720,0.0,0.0,0.0,0,7,4.0,0.5714285714285714
6780,0.0,0.025,0.0,-1,7.0,3.828345211428571,0.5469064587755101
6840,0.0,0.001,0.10011,4,6.0,5.543404522635996,0.9239007537726659
6900,0.0,0.0,0.05318,0,10.0,6.279163703974591,0.6279163703974591
6960,0.0,0.0,0.0,0,10.0,5.6791637039745915,0.5679163703974591
7020,0.0,0.017,0.0,-2,10.0,4.964019415791427,0.49640194157914264
7080,0.0,0.019,0.0,-1,8.0,4.329057010966972,0.5411321263708715
7140,0.0,0.001,0.05274,0,7.0,4.042671632756322,0.5775245189651889
