sim_time,reservation_time_trigger,dyn_fleetsizing_strategy,user_requests,request_batch,activate vehicles,active vehicles,effective utilized vehicles,utilization
0,0.0,0.0,0.0,0.01615,0,50,0.0,0.0
60,0.0,0.35,0.0,0.01498,-49.0,50,0.0,0.0
120,0.0,0.001,0.0,0.01256,-0.0,1,0.0,0.0
180,0.0,0.001,0.02954,0.01131,-0.0,1,0.0,0.0
240,0.0,0.003,0.0,0.01293,-0.0,1,0.0,0.0
300,0.0,0.007,0.02132,0.0338,1,1,1.0,1.0
360,0.0,0.011,0.08009,0.04311,2,2,2.0,1.0
420,0.0,0.014,0.0,0.02707,-1,4,2.0,0.5
480,0.0,0.001,0.0,0.01904,0,3.0,1.7145155485555672,0.5715051828518557
540,0.0,0.029,0.0,0.08676,-1,3.0,1.3145155485555673,0.43817184951852245
600,0.0,0.011,0.0,0.01502,-1,2.0,0.9145155485555669,0.45725777427778347
660,0.0,0.002,0.02209,0.0916,2,2,2.0,1.0
720,0.0,0.011,0.0,0.02013,-1,4,2.0,0.5
780,0.0,0.031,0.0,0.02451,-1,2.0,0.8684461527289515,0.43422307636447577
840,0.0,0.001,0.038599999999999995,0.01747,1,1.0,0.6684461527289507,0.6684461527289507
900,0.0,0.001,0.04267,0.05014,2,2,2.0,1.0
960,0.0,0.009,0.04969,0.07193,-1,4,2.0,0.5
1020,0.0,0.001,0.0,0.02063,0,3.0,1.8259227541698404,0.6086409180566135
1080,0.0,0.001,0.08566,0.08218,2,3,3.0,1.0
1140,0.0,0.001,0.04765,0.08503,2,5,4.0,0.8
1200,0.0,0.001,0.05311,0.04939,2,7,5.0,0.7142857142857143
1260,0.0,0.011,0.0,0.02943,-1,9.0,4.8117220589670655,0.534635784329674
1320,0.0,0.001,0.07755,0.11493,0,8.0,4.560740183225611,0.5700925229032013
1380,0.0,0.017,0.0,0.0259,-2,8.0,3.7607401832256087,0.4700925229032011
1440,0.0,0.001,0.01438,0.06154,0,6.0,3.325837286120091,0.5543062143533485
1500,0.0,0.0,0.1159,0.05507,0,6.0,3.455768454122172,0.575961409020362
1560,0.0,0.027,0.0477,0.05723,-2,6.0,2.7068884003674625,0.4511480667279104
1620,0.0,0.0,0.06620000000000001,0.10395,0,5.0,3.0416169660509658,0.6083233932101931
1680,0.0,0.001,0.12683,0.18682,3,5.0,4.4981325858195484,0.8996265171639097
1740,0.0,0.036,0.0,0.0573,-2,8.0,4.162115530453656,0.520264441306707
1800,0.0,0.002,0.0,0.0869,0,6.0,3.7621155304536544,0.6270192550756091
1860,0.0,0.009,0.0,0.01782,-1,5.0,2.4639829446341053,0.49279658892682104
1920,0.0,0.0,0.0,0.01412,0,4.0,2.2639829446341047,0.5659957361585262
1980,0.0,0.003,0.0,0.01814,-1,4.0,1.990116780696785,0.49752919517419625
2040,0.0,0.001,0.04206,0.05701,2,3.0,2.6520373972187814,0.8840124657395938
2100,0.0,0.0,0.04115,0.06086,1,5.0,3.252037397218781,0.6504074794437562
2160,0.0,0.0,0.01679,0.05913,0,6.0,3.7742909550971917,0.6290484925161987
2220,0.0,0.025,0.0,0.04859,-1,6.0,3.019371584409085,0.5032285974015142
2280,0.0,0.0,0.01796,0.07928,0,5.0,3.1442470988129587,0.6288494197625918
2340,0.0,0.001,0.03118,0.05979,1,5.0,3.5355117098465763,0.7071023419693152
2400,0.0,0.0,0.01326,0.0495,0,6.0,3.7355117098465778,0.6225852849744297
2460,0.0,0.001,0.06108,0.07454,1,6.0,3.9878762693424337,0.6646460448904056
2520,0.0,0.0,0.09767,0.05929,0,7.0,4.312926830726122,0.6161324043894459
2580,0.0,0.007,0.03824,0.06059,-1,7.0,3.6225197129555573,0.5175028161365082
2640,0.0,0.013,0.0,0.01651,-2,6.0,2.856248150756596,0.4760413584594327
2700,0.0,0.001,0.07238,0.05509,0,4.0,2.2562481507566035,0.5640620376891509
2760,0.0,0.019,0.03031,0.03834,-2,4.0,1.681630033382327,0.42040750834558177
2820,0.0,0.014,0.0,0.01937,-1,3.0,1.2816300333823256,0.4272100111274419
2880,0.0,0.002,0.07064999999999999,0.04777,2,2,2.0,1.0
2940,0.0,0.0,0.02086,0.04057,1,4,3.0,0.75
3000,0.0,0.001,0.01482,0.03206,2,5,4.0,0.8
3060,0.0,0.012,0.10163,0.0905,5,7,7.0,1.0
3120,0.0,0.0,0.0,0.06079,0,12.0,6.879688875175551,0.5733074062646293
3180,0.0,0.018,0.0,0.03426,-2,11.0,5.479688875175554,0.4981535341068685
3240,0.0,0.01,0.0,0.01564,-1,9.0,4.947350046209159,0.5497055606899066
3300,0.0,0.0,0.03143,0.04839,0,8.0,4.941560293011101,0.6176950366263876
3360,0.0,0.017,0.05056,0.05613,-2,8.0,4.000064588942056,0.500008073617757
3420,0.0,0.001,0.03907,0.03916,1,6.0,4.03517498982919,0.6725291649715316
3480,0.0,0.018,0.0,0.02953,-2,7.0,3.154698309275444,0.45067118703934916
3540,0.0,0.018,0.0,0.04867,-2,6.0,2.4897648341634357,0.414960805693906
3600,0.0,0.001,0.07641,0.0656,3,5.0,4.334851822238244,0.8669703644476489
3660,0.0,0.043,0.0,0.06962,-3,7.0,2.93485182223825,0.41926454603403573
3720,0.0,0.003,0.0745,0.04561,2,4.0,3.322251015367856,0.830562753841964
3780,0.0,0.03,0.0,0.01612,-2,5.0,2.0553096828516297,0.41106193657032597
3840,0.0,0.001,0.09712,0.07157,2,3.0,2.7330586674837725,0.9110195558279242
3900,0.0,0.01,0.0,0.03271,-1,5.0,2.5330586674837754,0.506611733496755
3960,0.0,0.001,0.0,0.02484,0,4.0,2.3330586674837757,0.5832646668709439
4020,0.0,0.01,0.0,0.01872,-1,4.0,2.1330586674837773,0.5332646668709443
4080,0.0,0.001,0.0,0.01229,1,3,2.0,0.6666666666666666
4140,0.0,0.012,0.0,0.01839,-1,4.0,1.9725884853193385,0.4931471213298346
4200,0.0,0.001,0.0,0.01449,0,3.0,1.6807216909270815,0.5602405636423605
4260,0.0,0.001,0.0247,0.03966,1,3.0,2.2807216909270878,0.7602405636423626
4320,0.0,0.001,0.056600000000000004,0.10243,1,4,3.0,0.75
4380,0.0,0.002,0.08082,0.04307,2,5.0,3.9012244201446475,0.7802448840289296
4440,0.0,0.022,0.06727,0.05101,2,7.0,5.33576390903672,0.7622519870052457
4500,0.0,0.02,0.0,0.03519,-2,9.0,4.735763909036714,0.5261959898929682
4560,0.0,0.002,0.06957,0.06562,1,7.0,4.736712134779072,0.676673162111296
4620,0.0,0.016,0.048600000000000004,0.06981,3,8.0,6.117805890769045,0.7647257363461306
4680,0.0,0.019,0.04239,0.07461,-2,11.0,5.609773118272676,0.5099793743884251
4740,0.0,0.01,0.0,0.02872,-1,9.0,4.850286852374618,0.5389207613749575
4800,0.0,0.016,0.0,0.01535,-2,8.0,3.987547032425206,0.4984433790531507
4860,0.0,0.001,0.01548,0.05014,0,6.0,3.3475832817116924,0.5579305469519488
4920,0.0,0.03,0.03349,0.06964,1,6.0,3.9046884812974563,0.6507814135495761
4980,0.0,0.0,0.04768,0.06854,0,7.0,4.3392440400144485,0.6198920057163498
5040,0.0,0.0,0.0,0.03407,0,7.0,4.4156548800647455,0.6308078400092494
5100,0.0,0.0,0.059,0.06086,0,7.0,4.362025491887052,0.6231464988410075
5160,0.0,0.0,0.03024,0.073,0,7.0,4.394597190640194,0.6277995986628849
5220,0.0,0.0,0.0203,0.04867,0,7.0,4.264804614020826,0.6092578020029752
5280,0.0,0.024,0.0,0.02724,-2,7.0,3.42677706351692,0.48953958050241714
5340,0.0,0.006,0.0,0.01387,-1,6.0,3.28986866765444,0.5483114446090733
5400,0.0,0.013,0.03089,0.0635,2,4.0,3.318170871321678,0.8295427178304196
5460,0.0,0.001,0.06133,0.08585,0,6.0,3.531539208166238,0.5885898680277063
5520,0.0,0.028,0.07288,0.12235,4,6.0,5.775340786340666,0.9625567977234444
5580,0.0,0.004,0.08276,0.14117,4,10,8.0,0.8
5640,0.0,0.0,0.0,0.06191,0,14.0,7.765989563105422,0.5547135402218158
5700,0.0,0.041,0.10571,0.06524,-3,14.0,7.152371627828761,0.5108836877020544
5760,0.0,0.001,0.02599,0.11893,0,11.0,6.319036388223724,0.574457853474884
5820,0.0,0.029,0.0,0.03114,-3,11.0,4.944818241932323,0.4495289310847566
5880,0.0,0.022,0.0,0.01586,-3,8.0,3.344818241932323,0.4181022802415404
5940,0.0,0.021,0.0,0.0169,-3,7.0,2.979412069057574,0.42563029557965343
6000,0.0,0.0,0.0,0.01618,0,4.0,2.3930300043342503,0.5982575010835626
6060,0.0,0.012,0.01719,0.02578,2,4.0,3.026365243939284,0.756591310984821
6120,0.0,0.038,0.0,0.01777,-3,4.0,0.8214760738907565,0.20536901847268912
6180,0.0,0.002,0.0,0.01525,0,1.0,0.6214760738907625,0.6214760738907625
6240,0.0,0.012,0.02748,0.03207,1,1,1.0,1.0
6300,0.0,0.014,0.0,0.01937,-1,2,1.0,0.5
6360,0.0,0.0,0.0,0.01709,1,1,1.0,1.0
6420,0.0,0.036,0.02661,0.03562,2,2,2.0,1.0
6480,0.0,0.01,0.0,0.02573,-1,4.0,1.8454858132055445,0.4613714533013861
6540,0.0,0.0,0.01266,0.02606,0,3.0,1.9038368197270454,0.6346122732423485
6600,0.0,0.027,0.04322,0.04039,2,3.0,2.7038368197270484,0.9012789399090161
6660,0.0,0.001,0.05892,0.11715,1,5.0,3.503836819727048,0.7007673639454096
6720,0.0,0.0,0.0,0.02876,0,6.0,3.3038368197270485,0.5506394699545081
6780,0.0,0.019,0.0,0.01729,-2,6.0,2.9321820311556164,0.48869700519260273
6840,0.0,0.001,0.09000000000000001,0.06792,2,4.0,3.2964465992927945,0.8241116498231986
6900,0.0,0.013,0.040080000000000005,0.07034,3,6.0,5.256178487491255,0.8760297479152092
6960,0.0,0.01,0.0,0.02809,-1,9.0,4.856178487491258,0.5395753874990287
7020,0.0,0.013,0.0,0.02614,-1,8.0,4.295520974756606,0.5369401218445757
7080,0.0,0.01,0.0,0.03662,-1,7.0,3.6671757633280353,0.5238822519040051
7140,0.0,0.0,0.03059,0.0451,0,6.0,3.3680148160310517,0.5613358026718419
