sim_time,reservation_time_trigger,repositioning_strategy,user_requests,request_batch
0,0.0,0.196,0.0,0.01414
60,0.0,0.0,0.042820000000000004,0.08294
120,0.0,0.0,0.09469,0.15222
180,0.0,0.0,0.15319,0.31051
240,0.0,0.0,0.07883,0.16053
300,0.0,0.022,0.0349,0.07702
360,0.0,0.0,0.22993000000000002,0.17849
420,0.0,0.0,0.05906,0.07716
480,0.0,0.0,0.0,0.02782
540,0.0,0.0,0.09415,0.17378
600,0.0,0.023,0.12560000000000002,0.16157
660,0.0,0.0,0.13859000000000002,0.23514
720,0.0,0.0,0.0,0.05125
780,0.0,0.0,0.03572,0.07651
840,0.0,0.0,0.04137,0.03738
900,0.0,0.026,0.02007,0.06294
960,0.0,0.0,0.01674,0.02789
1020,0.0,0.0,0.04191,0.03124
1080,0.0,0.0,0.11560999999999999,0.10435
1140,0.0,0.0,0.01708,0.11718
1200,0.0,0.024,0.05819,0.05785
1260,0.0,0.0,0.02044,0.05918
1320,0.0,0.0,0.14114000000000002,0.14922
1380,0.0,0.0,0.03884,0.08859
1440,0.0,0.0,0.059160000000000004,0.11278
1500,0.0,0.02,0.02948,0.04213
1560,0.0,0.0,0.05251,0.08256
1620,0.0,0.0,0.04954,0.21626
1680,0.0,0.0,0.02815,0.1101
1740,0.0,0.0,0.11077000000000001,0.10882
1800,0.0,0.036,0.09403,0.11793
1860,0.0,0.0,0.02986,0.06753
1920,0.0,0.0,0.08445,0.10373
1980,0.0,0.0,0.01959,0.03248
2040,0.0,0.0,0.059500000000000004,0.08394
2100,0.0,0.019,0.0,0.03468
2160,0.0,0.0,0.02969,0.0321
2220,0.0,0.0,0.02055,0.0615
2280,0.0,0.0,0.062029999999999995,0.07262
2340,0.0,0.0,0.06849,0.08294
2400,0.0,0.02,0.04325,0.07898
2460,0.0,0.0,0.0,0.01957
2520,0.0,0.0,0.09242,0.14117
2580,0.0,0.0,0.0,0.0406
2640,0.0,0.0,0.033530000000000004,0.04853
2700,0.0,0.015,0.03442,0.07802
2760,0.0,0.0,0.06594,0.09119
2820,0.0,0.0,0.0,0.06081
2880,0.0,0.0,0.0,0.01957
2940,0.0,0.0,0.04268,0.05263
3000,0.0,0.023,0.01491,0.04065
3060,0.0,0.0,0.087,0.0906
3120,0.0,0.0,0.037809999999999996,0.05165
3180,0.0,0.0,0.05072,0.0597
3240,0.0,0.0,0.07211000000000001,0.06479
3300,0.0,0.027,0.0,0.03272
3360,0.0,0.0,0.03802,0.05407
3420,0.0,0.0,0.03261,0.09032
3480,0.0,0.0,0.08129,0.07628
3540,0.0,0.0,0.09058,0.08453
3600,0.0,0.021,0.0,0.04388
3660,0.0,0.0,0.08227999999999999,0.07762
3720,0.0,0.0,0.02268,0.03943
3780,0.0,0.0,0.038400000000000004,0.06655
3840,0.0,0.0,0.04751,0.05419
3900,0.0,0.026,0.02108,0.02938
3960,0.0,0.0,0.0,0.01242
4020,0.0,0.0,0.044079999999999994,0.05511
4080,0.0,0.0,0.01847,0.05815
4140,0.0,0.0,0.031420000000000003,0.04735
4200,0.0,0.023,0.0428,0.09102
4260,0.0,0.0,0.02787,0.03329
4320,0.0,0.0,0.01986,0.03214
4380,0.0,0.0,0.0,0.01236
4440,0.0,0.0,0.06405,0.07661
4500,0.0,0.024,0.0,0.01526
4560,0.0,0.0,0.0,0.01358
4620,0.0,0.0,0.04258,0.04677
4680,0.0,0.0,0.05687,0.11867
4740,0.0,0.0,0.02202,0.03152
4800,0.0,0.031,0.06952,0.05977
4860,0.0,0.0,0.02071,0.02997
4920,0.0,0.0,0.01695,0.02854
4980,0.0,0.0,0.03624,0.03663
5040,0.0,0.0,0.03666,0.04799
5100,0.0,0.023,0.05234,0.06976
5160,0.0,0.0,0.047330000000000004,0.09137
5220,0.0,0.0,0.02179,0.04454
5280,0.0,0.0,0.043109999999999996,0.05762
5340,0.0,0.0,0.02006,0.03279
5400,0.0,0.02,0.02425,0.03451
5460,0.0,0.0,0.04179,0.0533
5520,0.0,0.0,0.01538,0.0668
5580,0.0,0.0,0.028909999999999998,0.03598
5640,0.0,0.0,0.042760000000000006,0.05794
5700,0.0,0.026,0.02306,0.0321
5760,0.0,0.0,0.09272,0.11429
5820,0.0,0.0,0.0,0.01507
5880,0.0,0.0,0.042539999999999994,0.06207
5940,0.0,0.0,0.02973,0.04266
6000,0.0,0.042,0.0,0.01863
6060,0.0,0.0,0.02732,0.03752
6120,0.0,0.0,0.0,0.01302
6180,0.0,0.0,0.06705,0.06538
6240,0.0,0.0,0.056900000000000006,0.07614
6300,0.0,0.021,0.0,0.01266
6360,0.0,0.0,0.01773,0.02877
6420,0.0,0.0,0.09956000000000001,0.09567
6480,0.0,0.0,0.0448,0.05902
6540,0.0,0.0,0.05837,0.06683
6600,0.0,0.022,0.01925,0.03108
6660,0.0,0.0,0.01872,0.03826
6720,0.0,0.0,0.04572,0.05084
6780,0.0,0.0,0.034019999999999995,0.04808
6840,0.0,0.0,0.02278,0.03931
6900,0.0,0.021,0.0,0.01363
6960,0.0,0.0,0.04139,0.06267
7020,0.0,0.0,0.02314,0.03259
7080,0.0,0.0,0.0,0.0118
7140,0.0,0.0,0.03866,0.05032
