sim_time,reservation_time_trigger,charging_strategy,user_requests,request_batch
0,0.0,0.0,0.0,0.00903
60,0.0,0.0,0.0,0.01063
120,0.0,0.0,0.0,0.01114
180,0.0,0.032,0.03944,0.04904
240,0.0,0.0,0.0,0.01157
300,0.0,0.027,0.01787,0.05504
360,0.0,0.0,0.02965,0.14952
420,0.0,0.0,0.0,0.01228
480,0.0,0.0,0.0,0.01002
540,0.0,0.0,0.0,0.00927
600,0.0,0.0,0.0,0.01511
660,0.0,0.0,0.0267,0.02892
720,0.0,0.0,0.0,0.01491
780,0.0,0.0,0.0,0.01068
840,0.0,0.048,0.03661,0.05148
900,0.0,0.0,0.037849999999999995,0.06946
960,0.0,0.0,0.02982,0.04166
1020,0.0,0.0,0.0,0.01289
1080,0.0,0.0,0.06443,0.01306
1140,0.0,0.0,0.03613,0.01158
1200,0.0,0.0,0.0437,0.0096
1260,0.0,0.0,0.0,0.00885
1320,0.0,0.023,0.02375,0.03682
1380,0.0,0.0,0.0,0.01014
1440,0.0,0.0,0.01874,0.00868
1500,0.0,0.0,0.04715,0.01084
1560,0.0,0.0,0.0228,0.01158
1620,0.0,0.0,0.04733,0.0094
1680,0.0,0.0,0.08727,0.02731
1740,0.0,0.031,0.0,0.01534
1800,0.0,0.0,0.0,0.01577
1860,0.0,0.0,0.0,0.00938
1920,0.0,0.0,0.0,0.01386
1980,0.0,0.0,0.0,0.01426
2040,0.0,0.028,0.05597,0.06762
2100,0.0,0.0,0.02503,0.01423
2160,0.0,0.0,0.01063,0.01066
2220,0.0,0.0,0.0,0.01387
2280,0.0,0.0,0.02751,0.01614
2340,0.0,0.0,0.02935,0.01396
2400,0.0,0.0,0.01716,0.01137
2460,0.0,0.0,0.00787,0.01985
2520,0.0,0.0,0.02724,0.0246
2580,0.0,0.0,0.02163,0.03371
2640,0.0,0.0,0.0,0.00867
2700,0.0,0.0,0.04686,0.06659
2760,0.0,0.0,0.02309,0.03305
2820,0.0,0.0,0.0,0.01508
2880,0.0,0.0,0.05444,0.03059
2940,0.0,0.041,0.01741,0.08473
3000,0.0,0.0,0.0168,0.02427
3060,0.0,0.0,0.10344,0.02386
3120,0.0,0.0,0.0,0.02006
3180,0.0,0.0,0.0,0.0145
3240,0.0,0.0,0.0,0.01867
3300,0.0,0.0,0.02761,0.04447
3360,0.0,0.06,0.01958,0.0499
3420,0.0,0.0,0.01705,0.05061
3480,0.0,0.0,0.0,0.01685
3540,0.0,0.0,0.0,0.01395
3600,0.0,0.0,0.07664,0.04855
3660,0.0,0.0,0.0,0.01505
3720,0.0,0.0,0.04715,0.04245
3780,0.0,0.0,0.0,0.03053
3840,0.0,0.04,0.0685,0.02429
3900,0.0,0.0,0.0,0.01111
3960,0.0,0.0,0.0,0.0124
4020,0.0,0.0,0.0,0.00917
4080,0.0,0.0,0.0,0.00892
4140,0.0,0.0,0.0,0.01582
4200,0.0,0.0,0.0,0.01145
4260,0.0,0.051,0.01618,0.04078
4320,0.0,0.0,0.03413,0.01155
4380,0.0,0.0,0.01825,0.00867
4440,0.0,0.0,0.05743,0.014
4500,0.0,0.0,0.0,0.01219
4560,0.0,0.0,0.0218,0.01042
4620,0.0,0.0,0.0249,0.02233
4680,0.0,0.0,0.06751,0.01451
4740,0.0,0.047,0.0,0.01439
4800,0.0,0.0,0.0,0.01277
4860,0.0,0.0,0.01099,0.04299
4920,0.0,0.0,0.051070000000000004,0.01689
4980,0.0,0.0,0.06486,0.01249
5040,0.0,0.0,0.0,0.01343
5100,0.0,0.0,0.01278,0.02582
5160,0.0,0.0,0.06807,0.00919
5220,0.0,0.0,0.03449,0.01138
5280,0.0,0.0,0.0,0.01012
5340,0.0,0.0,0.0,0.01577
5400,0.0,0.045,0.034280000000000005,0.09736
5460,0.0,0.0,0.08202,0.06637
5520,0.0,0.0,0.0692,0.01282
5580,0.0,0.0,0.0775,0.03784
5640,0.0,0.026,0.0,0.01844
5700,0.0,0.0,0.04235,0.01479
5760,0.0,0.0,0.01461,0.04114
5820,0.0,0.0,0.0,0.02293
5880,0.0,0.0,0.0,0.01443
5940,0.0,0.0,0.0,0.00721
6000,0.0,0.0,0.0,0.01423
6060,0.0,0.032,0.02502,0.04157
6120,0.0,0.0,0.0,0.01021
6180,0.0,0.0,0.0,0.01033
6240,0.0,0.0,0.03492,0.00888
6300,0.0,0.0,0.0,0.01602
6360,0.0,0.0,0.0,0.01503
6420,0.0,0.0,0.01906,0.02655
6480,0.0,0.0,0.0,0.01753
6540,0.0,0.034,0.02954,0.03779
6600,0.0,0.0,0.07053,0.01414
6660,0.0,0.0,0.02589,0.01503
6720,0.0,0.0,0.0,0.01558
6780,0.0,0.0,0.0,0.01174
6840,0.0,0.034,0.07879,0.02426
6900,0.0,0.0,0.035930000000000004,0.01379
6960,0.0,0.0,0.0,0.00901
7020,0.0,0.0,0.0,0.01447
7080,0.0,0.0,0.0,0.01189
7140,0.0,0.0,0.03266,0.03077
