operator_id,vehicle_id,vehicle_type
0,0,default_vehtype
0,1,default_vehtype
0,2,default_vehtype
0,3,default_vehtype
0,4,default_vehtype
0,5,default_vehtype
0,6,default_vehtype
0,7,default_vehtype
0,8,default_vehtype
0,9,default_vehtype
0,10,default_vehtype
0,11,default_vehtype
0,12,default_vehtype
0,13,default_vehtype
0,14,default_vehtype
0,15,default_vehtype
0,16,default_vehtype
0,17,default_vehtype
0,18,default_vehtype
0,19,default_vehtype
0,20,default_vehtype
0,21,default_vehtype
0,22,default_vehtype
0,23,default_vehtype
0,24,default_vehtype
0,25,default_vehtype
0,26,default_vehtype
0,27,default_vehtype
0,28,default_vehtype
0,29,default_vehtype
0,30,default_vehtype
0,31,default_vehtype
0,32,default_vehtype
0,33,default_vehtype
0,34,default_vehtype
0,35,default_vehtype
0,36,default_vehtype
0,37,default_vehtype
0,38,default_vehtype
0,39,default_vehtype
0,40,default_vehtype
0,41,default_vehtype
0,42,default_vehtype
0,43,default_vehtype
0,44,default_vehtype
0,45,default_vehtype
0,46,default_vehtype
0,47,default_vehtype
0,48,default_vehtype
0,49,default_vehtype
